Gene	Protein	Uniprot id	Pfam ID	Start End domain	Part of evolutionary analysis	classification (Fig 1C)
ENSG00000267635	ENSP00000460240	A0A140TA67	PF13885;PF13885;PF13885;PF13885;PF13885	1-50;28-88;80-124;126-166;144-174	0	Non-PRD proteins
ENSG00000101608	ENSP00000464359	J3QRS3	PF08976;PF13405	101-173;38-67	0	Viral-binding non-PRDs
ENSG00000183346	ENSP00000496918	Q8IVU9	PF14769	1-92	0	Non-PRD proteins
ENSG00000156885	ENSP00000287490	Q02221	PF02046	12-90	0	Non-PRD proteins
ENSG00000114113	ENSP00000232217	P50120	PF00061	6-134	0	Non-PRD proteins
ENSG00000105612	ENSP00000222219	O00115	PF03265	18-347	0	Viral-binding non-PRDs
ENSG00000160352	ENSP00000478345	A0A087WU35	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096	173-195;201-223;229-251;257-279;285-307;313-335;341-363;369-391;397-419;425-447;453-475;481-502	0	Non-PRD proteins
ENSG00000115339	ENSP00000376465	Q14435	PF00652;PF00535	505-627;188-374	1	PRD proteins
ENSG00000180155	ENSP00000498325	P0DP58	PF00087	21-92	0	Viral-binding non-PRDs
ENSG00000176692	ENSP00000497759	Q99958	PF00250	71-157	0	Non-PRD proteins
ENSG00000114450	ENSP00000501882	Q9HAV0	PF00400;PF00400;PF00400;PF00400;PF00400;PF00400;PF00400	45-83;89-125;133-170;174-212;216-254;259-298;302-340	0	viral-binding PRDs
ENSG00000160695	ENSP00000481126	A0A087WXL6	PF00637;PF13923;PF12451	412-548;821-860;864-908	1	Viral-binding non-PRDs
ENSG00000134243	ENSP00000256637	Q99523	PF15902;PF15901	142-572;574-740	1	Viral-binding non-PRDs
ENSG00000156017	ENSP00000366030	Q8N4J0	PF07942	144-409	0	Non-PRD proteins
ENSG00000184840	ENSP00000330945	Q9BVK6	PF01105	37-230	0	Viral-binding non-PRDs
ENSG00000148606	ENSP00000361446	O14802	PF00623;PF05000;PF04983;PF04997;PF04998	358-525;728-834;528-703;12-356;841-1316	1	Non-PRD proteins
ENSG00000185290	ENSP00000455442	A6NF83	PF10195	26-83	0	Non-PRD proteins
ENSG00000157399	ENSP00000441417	F5GYY5	PF14707;PF00884	473-607;63-449	0	Viral-binding non-PRDs
ENSG00000188060	ENSP00000491546	Q8N4Z0	PF00071	11-179	0	Non-PRD proteins
ENSG00000171603	ENSP00000366513	O94985	PF13385;PF00028	365-510;169-258	0	Non-PRD proteins
ENSG00000109971	ENSP00000437125	P11142	PF00012	6-612	0	Viral-binding non-PRDs
ENSG00000132932	ENSP00000371070	Q9NTI2	PF13246;PF00122;PF16209;PF16212	504-604;148-387;58-121;847-1099	0	Non-PRD proteins
ENSG00000081059	ENSP00000378472	B7WNT5	PF00505;PF08347	269-337;1-212	1	Non-PRD proteins
ENSG00000076928	ENSP00000470715	M0QZR4	PF17838;PF09128;PF00621	688-816;42-232;476-659	0	Viral-binding non-PRDs
ENSG00000141076	ENSP00000456709	H3BSH7	PF00400	109-143	1	PRD proteins
ENSG00000218336	ENSP00000424226	Q9P273	PF06484;PF06484;PF15636	11-176;166-308;2615-2692	0	Non-PRD proteins
ENSG00000090565	ENSP00000262305	O75154	PF09457	716-756	1	Non-PRD proteins
ENSG00000132507	ENSP00000461688	I3L504	PF01287	83-149	1	Viral-binding non-PRDs
ENSG00000185985	ENSP00000359521	Q9H156	PF13855;PF13855;PF13855	86-146;142-193;399-459	0	Non-PRD proteins
ENSG00000115592	ENSP00000233944	Q9UGI9	PF00571;PF00571;PF00571	273-333;352-406;417-479	1	Non-PRD proteins
ENSG00000205423	ENSP00000405635	Q8N9A8	PF09771	5-122	1	Non-PRD proteins
ENSG00000137337	ENSP00000365588	Q14676	PF00498;PF16770	54-124;1877-1970	0	viral-binding PRDs
ENSG00000129864	ENSP00000250825	O14598	PF15231	1-125	0	Viral-binding non-PRDs
ENSG00000152944	ENSP00000442126	F5H872	PF11221	1-127	1	Viral-binding non-PRDs
ENSG00000006377	ENSP00000428480	P56179	PF00046	50-106	1	PRD proteins
ENSG00000228813	ENSP00000391938	A0A0G2JH31	PF07654;PF00969	130-211;45-117	0	Non-PRD proteins
ENSG00000164294	ENSP00000423822	Q8TED1	PF00255	47-155	1	Viral-binding non-PRDs
ENSG00000188738	ENSP00000401306	Q5CZC0	PF15783;PF15783;PF15783;PF15783;PF15783	4063-4611;4705-4927;4877-5252;5097-5422;5901-6774	0	Non-PRD proteins
ENSG00000176978	ENSP00000360635	Q9UHL4	PF05577	38-465	1	Viral-binding non-PRDs
ENSG00000241644	ENSP00000013222	O95050	PF01234	1-259	0	Viral-binding non-PRDs
ENSG00000133640	ENSP00000376910	Q96JM4	PF00612;PF00612	1336-1356;1396-1416	0	Non-PRD proteins
ENSG00000005189	ENSP00000457616	Q96IC2	PF00929;PF00076	229-376;507-573	0	viral-binding PRDs
ENSG00000104946	ENSP00000221543	Q9HA65	PF12068;PF00566	7-205;313-542	0	Viral-binding non-PRDs
ENSG00000140488	ENSP00000287202	Q96J87	PF00076;PF00076;PF00076	48-117;136-204;398-468	0	PRD proteins
ENSG00000186723	ENSP00000493436	Q9Y4A9	PF13853	31-309	0	Non-PRD proteins
ENSG00000144481	ENSP00000323926	Q7Z2W7	PF00520;PF18139	736-991;115-387	0	Non-PRD proteins
ENSG00000204701	ENSP00000492961	A0A126GWT2	PF13853	34-310	0	Non-PRD proteins
ENSG00000276086	ENSP00000478344	A0A0G2JM09	PF00047;PF00047	32-110;227-307	0	Non-PRD proteins
ENSG00000137106	ENSP00000475569	U3KQ56	PF02826;PF00389	116-290;9-338	1	viral-binding PRDs
ENSG00000167711	ENSP00000402286	C9JMH6	PF00079	84-255	1	Non-PRD proteins
ENSG00000197594	ENSP00000498074	P22413	PF01663;PF01223;PF01033;PF01033	212-538;663-905;106-143;147-187	0	Viral-binding non-PRDs
ENSG00000003393	ENSP00000264276	Q96Q42	PF00415;PF00415;PF00415;PF02493;PF02493;PF02493;PF02493;PF02493;PF02493;PF02493;PF02493;PF00621;PF02204	109-165;170-216;527-574;1049-1071;1072-1094;1100-1122;1123-1142;1151-1168;1175-1191;1198-1220;1221-1244;694-882;1552-1656	1	Non-PRD proteins
ENSG00000154930	ENSP00000316924	Q9NUB1	PF16177;PF00501;PF13193	58-114;115-556;564-642	1	Non-PRD proteins
ENSG00000188818	ENSP00000283441	Q9H8X9	PF01529	120-275	0	viral-binding PRDs
ENSG00000076864	ENSP00000363895	X6R8W7	PF02188;PF02145	1-17;210-391	1	Non-PRD proteins
ENSG00000110536	ENSP00000325958	Q8WUK0	PF00782	51-185	0	Viral-binding non-PRDs
ENSG00000126602	ENSP00000246957	Q12931	PF02518;PF00183	108-260;288-704	1	Viral-binding non-PRDs
ENSG00000198176	ENSP00000364519	Q14186	PF02319;PF08781	112-193;200-338	1	Viral-binding non-PRDs
ENSG00000106302	ENSP00000223026	Q2M3T9	PF01630	41-373	0	Non-PRD proteins
ENSG00000223532	ENSP00000400842	Q5SS57	PF07654;PF00129;PF06623	211-290;25-203;337-362	0	Non-PRD proteins
ENSG00000188672	ENSP00000294413	P18577	PF00909	15-405	1	Non-PRD proteins
ENSG00000080910	ENSP00000356391	A0A3B3IQ51	PF00084;PF00084;PF00084;PF00084	108-168;172-225;234-288;292-352	0	Non-PRD proteins
ENSG00000273703	ENSP00000477907	Q99879	PF00125	3-102	0	Viral-binding non-PRDs
ENSG00000165730	ENSP00000494558	A0A2R8Y5I4	PF10264	223-301	0	Non-PRD proteins
ENSG00000196664	ENSP00000370034	Q9NYK1	PF00560;PF13855;PF01582	700-743;496-554;890-1048	1	viral-binding PRDs
ENSG00000141526	ENSP00000482013	O15427	PF07690	25-371	1	Viral-binding non-PRDs
ENSG00000196757	ENSP00000479449	A0A087WVH9	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	197-219;253-275;309-331;365-387;393-415;421-443;449-471;477-501;567-589;595-617;623-645;707-729;26-67	0	Non-PRD proteins
ENSG00000159720	ENSP00000441282	F5GYQ1	PF01992;PF01992	16-107;141-388	1	Viral-binding non-PRDs
ENSG00000233757	ENSP00000478941	A0A087WUV0	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096	221-243;249-271;277-299;305-327;333-355;361-383;389-411;417-439;445-467;473-495	0	Non-PRD proteins
ENSG00000204381	ENSP00000364765	Q6UX15	PF00059	60-186	0	Viral-binding non-PRDs
ENSG00000105402	ENSP00000263354	P54920	PF14938	8-288	1	Viral-binding non-PRDs
ENSG00000006695	ENSP00000261643	Q12887	PF01040	168-418	0	Non-PRD proteins
ENSG00000183662	ENSP00000418575	Q7Z5A9	PF12020	41-129	0	Non-PRD proteins
ENSG00000120669	ENSP00000369210	Q9NX45	PF00010	203-253	0	Non-PRD proteins
ENSG00000167113	ENSP00000300452	Q9Y3A0	PF05019	38-258	0	Non-PRD proteins
ENSG00000145022	ENSP00000273590	P57738	PF15128	12-103	0	Viral-binding non-PRDs
ENSG00000172345	ENSP00000304032	Q9NSY2	PF01852	7-213	1	Non-PRD proteins
ENSG00000179833	ENSP00000326933	Q14140	PF06031	40-75	0	Non-PRD proteins
ENSG00000160271	ENSP00000361120	Q12967	PF00788;PF00618;PF00617	798-885;115-227;389-596	1	Non-PRD proteins
ENSG00000105825	ENSP00000497131	A0A3B3IS67	PF00014;PF00014;PF00014	35-87;95-150;163-215	0	Non-PRD proteins
ENSG00000127328	ENSP00000447300	Q96QF0	PF06428	187-270	0	Viral-binding non-PRDs
ENSG00000126259	ENSP00000353331	Q6UWL6	PF08205;PF07679;PF13927	126-214;24-121;312-378	0	Non-PRD proteins
ENSG00000185385	ENSP00000493071	O14581	PF13853	31-308	0	Non-PRD proteins
ENSG00000259494	ENSP00000312311	Q9H2W6	PF11788	45-153	1	Viral-binding non-PRDs
ENSG00000117215	ENSP00000364246	Q9UNK4	PF00068	22-131	0	Non-PRD proteins
ENSG00000145934	ENSP00000429430	Q9NT68	PF06484;PF15636	10-374;2690-2767	0	Non-PRD proteins
ENSG00000214309	ENSP00000381150	A4D2B0	PF00753	71-135	0	Non-PRD proteins
ENSG00000022267	ENSP00000498684	Q13642	PF00412;PF00412;PF00412	40-97;101-158;162-216	1	Viral-binding non-PRDs
ENSG00000164393	ENSP00000296862	Q8IZF7	PF00002;PF01825	443-690;392-435	0	Non-PRD proteins
ENSG00000276070	ENSP00000483330	Q8NHW4	PF00048	32-89	0	Non-PRD proteins
ENSG00000013375	ENSP00000425809	O95394	PF00408;PF02878;PF02878	431-528;44-102;103-198	1	Viral-binding non-PRDs
ENSG00000264813	ENSP00000464149	F6X3S4	PF01401	69-647	0	Non-PRD proteins
ENSG00000101049	ENSP00000340608	Q9HBY8	PF00069;PF00433	95-352;373-417	1	PRD proteins
ENSG00000114993	ENSP00000272430	Q9BST9	PF08174;PF00169	117-270;310-414	0	Non-PRD proteins
ENSG00000115468	ENSP00000264059	Q9BUP0	PF13499	92-156	1	viral-binding PRDs
ENSG00000188021	ENSP00000345195	Q9UHD9	PF00240;PF00627	33-105;581-618	0	Viral-binding non-PRDs
ENSG00000168679	ENSP00000358794	O15374	PF07690;PF07690	27-367;325-487	0	Viral-binding non-PRDs
ENSG00000167601	ENSP00000301178	P30530	PF07714;PF00041;PF00041;PF13927	536-803;226-321;335-418;37-120	0	viral-binding PRDs
ENSG00000183807	ENSP00000357545	Q5T6X4	PF06388	18-139	0	Non-PRD proteins
ENSG00000163512	ENSP00000419371	Q9H6S1	PF12845	213-265	1	Viral-binding non-PRDs
ENSG00000091583	ENSP00000205948	P02749	PF09014;PF00084;PF00084;PF00084;PF00084	261-345;23-79;81-137;142-200;205-260	0	Viral-binding non-PRDs
ENSG00000164877	ENSP00000297508	Q8IY33	PF00412;PF00307;PF12130	188-244;1-108;740-872	0	Non-PRD proteins
ENSG00000178297	ENSP00000498031	A0A3B3IU58	PF00089;PF00089;PF00089;PF00057;PF01390	237-465;538-765;861-1087;186-223;55-136	1	PRD proteins
ENSG00000105364	ENSP00000377334	X6RAY8	PF00573	80-252	1	Viral-binding non-PRDs
ENSG00000182899	ENSP00000393393	P18077	PF01247	5-104	0	Viral-binding non-PRDs
ENSG00000285269	ENSP00000494818	A0A2R8Y5X9	PF03151	1-181	0	Non-PRD proteins
ENSG00000013583	ENSP00000496930	A0A3B3IRV5	PF04832	41-205	0	Non-PRD proteins
ENSG00000110092	ENSP00000227507	P24385	PF00134;PF02984	26-153;155-282	0	Inferred viral-binding PRDs
ENSG00000139648	ENSP00000267119	Q3SY84	PF00038;PF16208	129-442;55-126	0	Non-PRD proteins
ENSG00000198961	ENSP00000354775	O43164	PF13639	632-675	1	Viral-binding non-PRDs
ENSG00000119979	ENSP00000354688	Q8TCE6	PF08616	157-264	0	Non-PRD proteins
ENSG00000125875	ENSP00000432280	Q96BZ9	PF00566	63-266	1	Viral-binding non-PRDs
ENSG00000135940	ENSP00000258424	P10606	PF01215	8-128	0	Viral-binding non-PRDs
ENSG00000168538	ENSP00000335371	Q7Z392	PF11817;PF12742	263-522;1036-1095	1	Viral-binding non-PRDs
ENSG00000059758	ENSP00000444459	Q00537	PF00069	192-473	0	PRD proteins
ENSG00000163462	ENSP00000334657	Q7Z4K8	PF13445;PF00643;PF18568	33-77;222-263;373-422	1	Non-PRD proteins
ENSG00000196878	ENSP00000375778	Q13751	PF00053;PF00053;PF00053;PF00053;PF00053;PF00053;PF00055	250-313;316-376;379-428;431-478;481-531;534-588;26-248	1	Viral-binding non-PRDs
ENSG00000170270	ENSP00000306320	Q9BXV9	PF15387	3-98	0	Non-PRD proteins
ENSG00000276196	ENSP00000478200	Q8N743	PF00047;PF00047	32-110;227-307	0	Non-PRD proteins
ENSG00000173227	ENSP00000435316	Q8IV01	PF00168;PF00168	167-274;298-404	1	Non-PRD proteins
ENSG00000090376	ENSP00000261233	Q9Y616	PF00531;PF00069	26-106;165-443	0	PRD proteins
ENSG00000249590	ENSP00000415178	H7C417	PF00650;PF10558	2-78;231-321	0	Non-PRD proteins
ENSG00000166105	ENSP00000396615	Q8NCI6	PF01301	79-392	0	Non-PRD proteins
ENSG00000127362	ENSP00000247879	Q9NYW6	PF05296	1-303	0	Non-PRD proteins
ENSG00000121775	ENSP00000338165	Q9GZU3	PF10271	48-478	1	Non-PRD proteins
ENSG00000181634	ENSP00000363157	O95150	PF00229	117-251	1	Non-PRD proteins
ENSG00000149474	ENSP00000503109	Q9H8E8	PF00583	648-751	1	Non-PRD proteins
ENSG00000168959	ENSP00000306138	P41594	PF01094;PF00003;PF07562;PF10606	67-475;591-824;507-558;1162-1212	0	Non-PRD proteins
ENSG00000072364	ENSP00000265343	Q9UHB7	PF05110;PF18875;PF18876	2-479;714-728;897-1162	0	Viral-binding non-PRDs
ENSG00000103150	ENSP00000262430	O95822	PF05292;PF17408	193-457;95-190	1	Non-PRD proteins
ENSG00000181234	ENSP00000410852	Q8N3T6	PF15705;PF15706;PF16070	51-181;893-979;438-781	1	Non-PRD proteins
ENSG00000099250	ENSP00000265371	O14786	PF00629;PF00431;PF00431;PF00754;PF00754;PF11980	650-810;27-138;147-262;290-421;446-580;842-923	1	viral-binding PRDs
ENSG00000110955	ENSP00000262030	P06576	PF00006;PF02874	186-405;63-129	0	Viral-binding non-PRDs
ENSG00000205863	ENSP00000371572	B2RNN3	PF00386;PF01391	203-329;23-82	0	Non-PRD proteins
ENSG00000115155	ENSP00000272371	Q9HC10	PF00168;PF00168;PF00168;PF00168;PF00168;PF00168;PF08150;PF08151;PF16165	5-100;254-357;417-530;960-1059;1492-1596;1732-1868;842-917;360-410;1894-1994	1	Non-PRD proteins
ENSG00000135097	ENSP00000257552	O43347	PF00076;PF00076	22-91;111-180	1	viral-binding PRDs
ENSG00000033030	ENSP00000488055	Q6NZY4	PF00098;PF04046	227-244;287-335	1	Viral-binding non-PRDs
ENSG00000257411	ENSP00000449770	H0YIN7	PF00557	5-159	0	Non-PRD proteins
ENSG00000168159	ENSP00000306396	Q5TA31	PF00097	12-52	0	Viral-binding non-PRDs
ENSG00000125998	ENSP00000363529	Q9BQN1	PF07894	29-306	1	Non-PRD proteins
ENSG00000156968	ENSP00000379669	Q2QL34	PF04117	106-165	0	Non-PRD proteins
ENSG00000132837	ENSP00000255189	Q9UI17	PF01266;PF01571;PF08669;PF16350	51-414;474-745;770-848;417-471	1	Non-PRD proteins
ENSG00000102935	ENSP00000455588	Q2M1K9	PF13912;PF13912;PF13912;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096	440-466;929-955;958-984;138-160;194-216;222-244;480-503;692-715;1120-1143	1	Non-PRD proteins
ENSG00000168509	ENSP00000337014	Q6ZVN8	PF06534;PF06535	230-389;37-226	0	Non-PRD proteins
ENSG00000277236	ENSP00000483302	Q16627	PF00048	33-90	0	Non-PRD proteins
ENSG00000117362	ENSP00000358105	Q96BI3	PF06105	2-239	1	Viral-binding non-PRDs
ENSG00000162641	ENSP00000359018	Q5T1N1	PF12443	327-421	0	Non-PRD proteins
ENSG00000285991	ENSP00000498179	A0A3B3IU27	PF00129	29-202	0	Non-PRD proteins
ENSG00000169682	ENSP00000454360	H3BMF4	PF07690	110-475	0	Viral-binding non-PRDs
ENSG00000081760	ENSP00000324842	Q86V21	PF16177;PF00501	47-105;103-546	0	Non-PRD proteins
ENSG00000010361	ENSP00000313309	Q9BT04	PF19037;PF19036;PF19038	174-269;10-138;295-417	0	Non-PRD proteins
ENSG00000101161	ENSP00000266079	O94906	PF06424;PF13181	13-169;709-740	1	Viral-binding non-PRDs
ENSG00000175294	ENSP00000309052	Q8NEC5	PF00520	446-677	0	Viral-binding non-PRDs
ENSG00000119559	ENSP00000465469	K7EK56	PF15136	6-85	0	Viral-binding non-PRDs
ENSG00000275244	ENSP00000482752	O43869	PF13853	81-357	0	Non-PRD proteins
ENSG00000163602	ENSP00000419494	Q8N488	PF00641;PF17219	22-48;145-177	0	Non-PRD proteins
ENSG00000164241	ENSP00000454153	A6NC05	PF05768	32-102	0	Non-PRD proteins
ENSG00000143556	ENSP00000357711	P31151	PF01023	6-45	0	Viral-binding non-PRDs
ENSG00000128590	ENSP00000249356	Q9UBS3	PF00226	26-87	0	Viral-binding non-PRDs
ENSG00000144730	ENSP00000296318	Q8NFM7	PF08357;PF16742	356-511;48-169	1	Non-PRD proteins
ENSG00000179859	ENSP00000490456	A6NIN4	PF13445;PF15451	18-78;117-187	0	Non-PRD proteins
ENSG00000170412	ENSP00000499092	A0A0C4DFY5	PF00003	106-346	1	Viral-binding non-PRDs
ENSG00000172350	ENSP00000481728	Q9H172	PF00005;PF19055;PF01061	85-229;258-328;372-583	1	Non-PRD proteins
ENSG00000104824	ENSP00000221419	P14866	PF11835;PF13893;PF00076	184-270;356-480;104-162	0	viral-binding PRDs
ENSG00000178171	ENSP00000314914	Q8N944	PF09422	220-452	0	Non-PRD proteins
ENSG00000214706	ENSP00000402849	Q12894	PF05004;PF04836	96-405;450-503	0	Viral-binding non-PRDs
ENSG00000197977	ENSP00000346693	Q9NXB9	PF01151	30-265	0	Non-PRD proteins
ENSG00000085871	ENSP00000482639	Q99735	PF01124	8-124	0	Viral-binding non-PRDs
ENSG00000122477	ENSP00000359157	Q96DD0	PF13855;PF13855	83-141;177-234	1	Non-PRD proteins
ENSG00000180509	ENSP00000483895	P15382	PF02060	2-126	0	Non-PRD proteins
ENSG00000143702	ENSP00000355500	Q5SW79	PF00498;PF15308	23-90;809-1506	0	viral-binding PRDs
ENSG00000187747	ENSP00000341581	Q8NGF0	PF13853	51-330	0	Non-PRD proteins
ENSG00000102753	ENSP00000261667	O00505	PF00514;PF00514;PF00514;PF00514;PF00514;PF00514;PF00514;PF00514;PF01749;PF16186	103-144;146-186;188-229;232-271;273-313;315-355;357-397;400-440;11-93;447-499	1	Inferred viral-binding PRDs
ENSG00000136238	ENSP00000348461	P63000	PF00071	5-178	1	Viral-binding non-PRDs
ENSG00000179954	ENSP00000374274	A1L4H1	PF00530;PF00530;PF00530;PF00530;PF00530	23-120;201-298;307-404;470-568;775-872	0	Non-PRD proteins
ENSG00000089775	ENSP00000476746	P24278	PF00651;PF00096;PF00096	14-118;238-260;349-371	1	Viral-binding non-PRDs
ENSG00000108551	ENSP00000225688	Q9Y272	PF00071	26-196	1	Viral-binding non-PRDs
ENSG00000048462	ENSP00000053243	Q02223	PF09257	8-45	0	Non-PRD proteins
ENSG00000239264	ENSP00000369081	Q8NBS9	PF00085;PF00085;PF00085	62-166;190-292;323-426	0	Viral-binding non-PRDs
ENSG00000133961	ENSP00000347169	P49757	PF00640;PF06311	39-172;258-338	0	viral-binding PRDs
ENSG00000000971	ENSP00000356399	P08603	PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084	22-80;85-141;146-205;210-262;267-320;325-386;387-442;448-505;509-564;569-623;630-684;691-744;811-864;870-926;931-984;989-1043;1048-1102;1109-1163;1167-1228	0	Viral-binding non-PRDs
ENSG00000197016	ENSP00000375590	Q6ECI4	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	228-250;256-278;284-306;312-334;340-362;368-391;425-447;453-475;481-503;509-531;537-559;565-587;621-643;649-671;677-699;22-63	0	Non-PRD proteins
ENSG00000241635	ENSP00000304845	P22309	PF00201	28-524	0	Viral-binding non-PRDs
ENSG00000282815	ENSP00000488022	A0A0J9YWL9	PF15186	5-150	0	Non-PRD proteins
ENSG00000143768	ENSP00000355785	O00292	PF00688;PF00019	76-229;262-353	0	Non-PRD proteins
ENSG00000170631	ENSP00000378369	P17020	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096	265-287;293-315;321-343;349-371;377-399;405-427;433-455;461-483;489-511;517-539;545-567;573-595;601-623;629-651;657-679	0	Non-PRD proteins
ENSG00000239779	ENSP00000377542	A8MX15	PF11669	70-176	0	Non-PRD proteins
ENSG00000125827	ENSP00000246024	Q9H1E5	PF00085	38-137	1	Viral-binding non-PRDs
ENSG00000112394	ENSP00000357844	Q8TF71	PF07690;PF07690	74-379;303-509	1	Viral-binding non-PRDs
ENSG00000173302	ENSP00000308908	Q8TDV2	PF00001	68-307	0	Non-PRD proteins
ENSG00000169976	ENSP00000356541	Q9BWJ5	PF07189	3-80	0	Viral-binding non-PRDs
ENSG00000152760	ENSP00000282670	Q8N7M0	PF03645	80-177	0	Non-PRD proteins
ENSG00000123838	ENSP00000356037	P04003	PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF00084;PF18453	50-108;113-170;175-234;239-294;299-362;365-422;426-480;484-538;541-589	0	Non-PRD proteins
ENSG00000122515	ENSP00000483853	A0A087X127	PF02891	599-648	0	Non-PRD proteins
ENSG00000168216	ENSP00000497575	A0A3B3IT31	PF04791	14-318	1	Viral-binding non-PRDs
ENSG00000205707	ENSP00000450584	A0A0C4DGJ8	PF05347	7-63	1	Non-PRD proteins
ENSG00000120705	ENSP00000353741	P62495	PF03465;PF03464;PF03463	280-417;145-277;18-140	0	Viral-binding non-PRDs
ENSG00000108018	ENSP00000263054	Q8WY21	PF00801;PF15902;PF15901	803-880;205-635;637-792	1	Non-PRD proteins
ENSG00000138185	ENSP00000360250	P49961	PF01150	40-471	0	Non-PRD proteins
ENSG00000180806	ENSP00000302836	P31274	PF00046;PF04617	193-249;1-179	0	viral-binding PRDs
ENSG00000188676	ENSP00000443432	Q6ZQW0	PF01231	28-414	0	Non-PRD proteins
ENSG00000108733	ENSP00000225873	O00623	PF04757	26-267	0	Non-PRD proteins
ENSG00000101812	ENSP00000347119	P0C1H6	PF00125	1-124	0	Non-PRD proteins
ENSG00000107902	ENSP00000357835	Q9H008	PF13344;PF13242	14-116;186-260	1	Non-PRD proteins
ENSG00000169371	ENSP00000456224	O95149	PF11538	25-64	1	Non-PRD proteins
ENSG00000101311	ENSP00000217289	Q9BQL6	PF18124;PF00169;PF00373	7-95;370-473;279-570	1	Non-PRD proteins
ENSG00000152234	ENSP00000282050	P25705	PF00006;PF02874;PF00306	192-415;67-135;422-547	0	Viral-binding non-PRDs
ENSG00000010404	ENSP00000339801	P22304	PF00884	37-416	1	Non-PRD proteins
ENSG00000148288	ENSP00000361110	Q8N5D6	PF03414	32-347	0	Non-PRD proteins
ENSG00000041988	ENSP00000054650	Q8WTV1	PF05485	5-82	0	Non-PRD proteins
ENSG00000106123	ENSP00000498670	F8WCM8	PF07647;PF07714;PF01404;PF07699;PF14575;PF00041;PF00041	946-1011;671-916;34-233;305-347;597-668;372-472;490-573	0	PRD proteins
ENSG00000185926	ENSP00000329056	A6NHA9	PF13853	29-303	0	Non-PRD proteins
ENSG00000166171	ENSP00000359170	Q9BVM2	PF14913	6-195	1	Non-PRD proteins
ENSG00000154920	ENSP00000421700	Q96AY2	PF02732	256-439	1	Viral-binding non-PRDs
ENSG00000011114	ENSP00000335615	Q9P203	PF07707;PF00651;PF00651	403-488;132-240;265-397	1	Non-PRD proteins
ENSG00000138829	ENSP00000424571	P35556	PF12662;PF12662;PF18193;PF12661;PF12661;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF07645;PF00683;PF00683;PF00683;PF00683;PF00683;PF00683;PF00683;PF00683;PF00683	638-661;1263-1286;76-112;505-525;2027-2047;276-316;318-358;535-573;575-615;768-808;810-850;852-890;955-995;1073-1113;1115-1156;1158-1198;1200-1240;1325-1365;1367-1406;1408-1447;1449-1489;1491-1530;1532-1572;1650-1690;1692-1732;1808-1848;1850-1890;1892-1932;1934-1971;1973-2014;2056-2096;2171-2211;2213-2251;2253-2292;2294-2336;2338-2378;2449-2489;2491-2530;2532-2569;2571-2612;2614-2652;2654-2693;2695-2733;224-265;374-420;714-759;906-943;1011-1055;1592-1636;1748-1794;2112-2158;2395-2440	0	Viral-binding non-PRDs
ENSG00000065675	ENSP00000263125	Q04759	PF00130;PF00130;PF00069;PF00433	160-212;232-284;380-634;655-696	0	Inferred viral-binding PRDs
ENSG00000180053	ENSP00000320089	A6NCS4	PF00046	133-189	0	PRD proteins
ENSG00000164251	ENSP00000296677	P55085	PF00001	92-344	1	Non-PRD proteins
ENSG00000121060	ENSP00000323889	Q14258	PF00622;PF13765;PF15227	511-629;459-507;13-53	1	viral-binding PRDs
ENSG00000055957	ENSP00000273283	P19827	PF08487;PF00092;PF06668	53-164;292-474;705-892	0	PRD proteins
ENSG00000107614	ENSP00000367030	O14717	PF00145	4-391	0	Non-PRD proteins
ENSG00000204021	ENSP00000383900	Q5VXJ0	PF04083	35-97	0	Non-PRD proteins
ENSG00000142546	ENSP00000343497	A0A075B6F9	PF15906	4-78	0	Non-PRD proteins
ENSG00000138658	ENSP00000424737	Q86YA3	PF13087;PF13086;PF06839;PF10382	1855-2041;1757-1847;1347-1391;4-77	0	Viral-binding non-PRDs
ENSG00000162894	ENSP00000356058	O60667	PF07686	20-123	0	Viral-binding non-PRDs
ENSG00000165555	ENSP00000370215	Q6NXP6	PF03807	78-172	0	Non-PRD proteins
